bench,bank11,bank12,bank21,bank22,unroll1,unroll2,unroll3,target_clk,estimate_clk,est_min_lat,est_max_lat,est_bram,est_dsp,est_ff,est_lut,est_read_lat,est_compute_lat,est_write_lat
gemm-dse:gemm-2-2-0-3-3-1-2,3,3,1,4,6,2,4,4.0,2.92,201750,201750,106,1574,144272,50060,32778,152576,16391
gemm-dse:gemm-0-1-0-3-3-2-3,1,2,1,4,6,4,6,4.0,2.92,193044,193044,94,512,41855,17341,32776,143872,16391
gemm-dse:gemm-2-3-3-2-2-4-1,3,4,4,3,4,8,2,4.0,2.92,114746,114746,146,1026,84172,44719,32778,65561,16401
gemm-dse:gemm-1-2-2-0-0-2-2,2,3,3,1,1,4,4,4.0,2.92,573496,573496,122,258,29646,38003,32778,524311,16401
gemm-dse:gemm-0-0-2-1-3-1-2,1,1,3,2,6,2,4,4.0,2.92,339999,339999,102,1120,83896,30237,32777,290816,16401
gemm-dse:gemm-2-0-3-2-3-3-3,3,1,4,3,6,6,6,4.0,2.92,381482,381482,122,1572,119857,53297,32778,332298,16401
gemm-dse:gemm-2-1-0-1-2-2-3,3,2,1,2,4,4,6,4.0,2.92,311347,311347,116,1024,82698,41206,32777,262173,16391
gemm-dse:gemm-3-3-2-3-2-1-2,4,4,3,4,4,2,4,4.0,2.92,180265,180265,114,1024,77241,28190,32777,131081,16401
gemm-dse:gemm-0-3-2-0-0-3-2,1,4,3,1,1,6,4,4.0,2.92,573482,573482,102,132,14495,12054,32777,524298,16401
gemm-dse:gemm-1-2-2-2-3-3-3,2,3,3,3,6,6,6,4.0,2.92,331818,331818,122,1588,118929,54970,32778,282634,16401
gemm-dse:gemm-2-0-0-0-3-4-0,3,1,1,1,6,8,1,4.0,2.92,11108885,11108885,103,216,45543,25061,32777,11059712,16391
gemm-dse:gemm-2-3-3-3-0-0-0,3,4,4,4,1,1,1,4.0,2.92,6340644,6340644,130,4,4473,5391,32777,6291471,16390
gemm-dse:gemm-0-1-2-0-0-1-2,1,2,3,1,1,2,4,4.0,2.92,1097767,1097767,98,68,10097,12893,32777,1048583,16401
gemm-dse:gemm-2-1-0-0-2-1-1,3,2,1,1,4,2,2,4.0,2.92,573525,573525,115,1024,82901,41358,32777,524351,16391
gemm-dse:gemm-3-0-1-1-1-4-1,4,1,2,2,2,8,2,4.0,2.92,311327,311327,98,424,33221,17893,32776,262154,16391
gemm-dse:gemm-1-1-0-0-2-4-4,2,2,1,1,4,8,8,4.0,2.92,573522,573522,95,1016,73625,27992,32776,524349,16391
gemm-dse:gemm-3-3-3-0-1-0-4,4,4,4,1,2,1,8,4.0,2.92,819220,819220,98,64,7631,5306,32776,770048,16391
gemm-dse:gemm-2-1-2-0-1-4-0,3,2,3,1,2,8,1,4.0,2.92,10371103,10371103,122,64,17311,14113,32777,10321920,16401
gemm-dse:gemm-0-1-0-1-3-1-4,1,2,1,2,6,2,8,4.0,2.92,328212,328212,92,1536,106576,35679,32776,279040,16391
gemm-dse:gemm-1-0-2-2-4-2-0,2,1,3,3,8,4,1,4.0,2.92,10706976,10706976,98,130,23819,30711,32778,10657792,16401
gemm-dse:gemm-0-2-2-1-2-4-1,1,3,3,2,4,8,2,4.0,2.92,442436,442436,116,1026,83835,58676,32778,393251,16401
gemm-dse:gemm-1-3-2-0-3-3-4,2,4,3,1,6,6,8,4.0,2.92,229919,229919,102,1536,108314,36068,32777,180736,16401
gemm-dse:gemm-1-3-3-0-4-0-3,2,4,4,1,8,1,6,4.0,2.92,1331220,1331220,98,256,22968,10997,32776,1282048,16391
gemm-dse:gemm-0-1-1-3-4-2-1,1,2,2,4,8,4,2,4.0,2.92,180268,180268,94,2016,144834,52098,32776,131096,16390
gemm-dse:gemm-3-2-1-1-0-1-2,4,3,2,2,1,2,4,4.0,2.92,442407,442407,130,258,24311,34299,32777,393233,16391
gemm-dse:gemm-0-1-3-2-0-4-3,1,2,4,3,1,8,6,4.0,2.92,1097766,1097766,110,70,10940,15288,32777,1048582,16401
gemm-dse:gemm-3-0-3-2-3-3-1,4,1,4,3,6,6,2,4.0,2.92,367913,367913,114,1548,115131,48031,32777,318730,16401
gemm-dse:gemm-1-1-2-3-2-3-3,2,2,3,4,4,6,6,4.0,2.92,245808,245808,114,1024,78467,30309,32777,196624,16401
gemm-dse:gemm-0-0-2-1-2-1-2,1,1,3,2,4,2,4,4.0,2.92,614442,614442,102,1024,78475,35593,32777,565258,16401
gemm-dse:gemm-0-0-0-0-2-2-3,1,1,1,1,4,4,6,4.0,2.92,573522,573522,89,984,73244,32022,32776,524349,16391
gemm-dse:gemm-1-0-2-3-0-2-1,2,1,3,4,1,4,2,4.0,2.92,1097766,1097766,110,112,13384,14677,32777,1048582,16401
gemm-dse:gemm-3-1-3-2-0-2-4,4,2,4,3,1,4,8,4.0,2.92,344105,344105,114,222,21528,11499,32777,294921,16401
gemm-dse:gemm-0-0-3-0-0-1-3,1,1,4,1,1,2,6,4.0,2.92,2375701,2375701,92,32,5388,4940,32776,2326528,16391
