status,resource2,est_avg_lat,est_lut,unroll,resource1,est_ff,est_bram,est_dsp,est_min_lat,bench,bank1,bank2,est_max_lat
ok,RAM_1P_BRAM,9593,4848,18,RAM_1P_BRAM,8293,28,90,9593,test:dot-product-2-5-12-0-0,3,6,9593
ok,RAM_T2P_BRAM,12048,3931,16,RAM_1P_BRAM,6970,20,64,12048,test:dot-product-1-1-11-0-1,2,2,12048
ok,RAM_1P_BRAM,38939,4226,2,RAM_1P_BRAM,4616,26,12,38939,test:dot-product-4-5-1-0-0,5,6,38939
ok,RAM_1P_BRAM,15503,4099,9,RAM_T2P_BRAM,5348,20,36,15503,test:dot-product-3-1-7-1-0,4,2,15503
ok,RAM_T2P_BRAM,9172,10076,9,RAM_1P_BRAM,16465,26,108,9172,test:dot-product-5-4-7-0-1,6,5,9172
ok,RAM_T2P_BRAM,12330,10476,25,RAM_1P_BRAM,21400,24,200,12330,test:dot-product-3-2-15-0-1,4,3,12330
ok,RAM_T2P_BRAM,23564,2669,4,RAM_T2P_BRAM,3018,20,16,23564,test:dot-product-3-3-3-1-1,4,4,23564
ok,RAM_T2P_BRAM,10306,7795,6,RAM_1P_BRAM,12459,22,48,10306,test:dot-product-4-1-5-0-1,5,2,10306
ok,RAM_T2P_BRAM,12324,3869,12,RAM_1P_BRAM,5892,24,60,12324,test:dot-product-0-2-9-0-1,1,3,12324
ok,RAM_1P_BRAM,69644,2653,1,RAM_1P_BRAM,2247,22,4,69644,test:dot-product-0-4-0-0-0,1,5,69644
ok,RAM_1P_BRAM,15903,6125,8,RAM_1P_BRAM,8386,22,40,15903,test:dot-product-4-1-6-0-0,5,2,15903
ok,RAM_1P_BRAM,12326,15018,16,RAM_T2P_BRAM,22171,26,96,12326,test:dot-product-2-4-11-1-0,3,5,12326
ok,RAM_1P_BRAM,12319,3070,5,RAM_T2P_BRAM,3464,20,20,12319,test:dot-product-1-0-4-1-0,2,1,12319
ok,RAM_1P_BRAM,10535,7306,9,RAM_1P_BRAM,12853,24,72,10535,test:dot-product-1-5-7-0-0,2,6,10535
ok,RAM_1P_BRAM,10306,8233,6,RAM_T2P_BRAM,13917,26,72,10306,test:dot-product-2-4-5-1-0,3,5,10306
ok,RAM_T2P_BRAM,8909,4131,12,RAM_1P_BRAM,6160,28,60,8909,test:dot-product-5-2-9-0-1,6,3,8909
ok,RAM_1P_BRAM,9171,6699,9,RAM_T2P_BRAM,11547,28,72,9171,test:dot-product-5-5-7-1-0,6,6,9171
ok,RAM_T2P_BRAM,21355,5853,5,RAM_1P_BRAM,8360,24,40,21355,test:dot-product-3-2-4-0-1,4,3,21355
ok,RAM_T2P_BRAM,8909,3934,12,RAM_T2P_BRAM,5947,28,60,8909,test:dot-product-2-2-9-1-1,3,3,8909
ok,RAM_T2P_BRAM,23564,2631,4,RAM_T2P_BRAM,2925,20,16,23564,test:dot-product-0-0-3-1-1,1,1,23564
ok,RAM_T2P_BRAM,69644,2674,1,RAM_T2P_BRAM,2247,24,4,69644,test:dot-product-5-0-0-1-1,6,1,69644
ok,RAM_1P_BRAM,12326,15027,16,RAM_1P_BRAM,22171,26,96,12326,test:dot-product-4-5-11-0-0,5,6,12326
ok,RAM_1P_BRAM,15903,5998,8,RAM_T2P_BRAM,8186,24,40,15903,test:dot-product-1-5-6-1-0,2,6,15903
ok,RAM_T2P_BRAM,9593,4131,6,RAM_T2P_BRAM,6861,24,48,9593,test:dot-product-3-5-5-1-1,4,6,9593
ok,RAM_1P_BRAM,12357,14111,20,RAM_T2P_BRAM,24909,24,160,12357,test:dot-product-2-0-13-1-0,3,1,12357
ok,RAM_T2P_BRAM,15499,3635,9,RAM_T2P_BRAM,4695,20,36,15499,test:dot-product-0-3-7-1-1,1,4,15499
ok,RAM_T2P_BRAM,21326,3305,5,RAM_T2P_BRAM,3719,22,25,21326,test:dot-product-3-4-4-1-1,4,5,21326
ok,RAM_T2P_BRAM,12328,11643,25,RAM_1P_BRAM,21777,24,200,12328,test:dot-product-3-5-15-0-1,4,6,12328
ok,RAM_T2P_BRAM,8909,4131,12,RAM_T2P_BRAM,6160,28,60,8909,test:dot-product-2-5-9-1-1,3,6,8909
ok,RAM_T2P_BRAM,9624,5387,3,RAM_T2P_BRAM,9211,24,24,9624,test:dot-product-1-5-2-1-1,2,6,9624
ok,RAM_T2P_BRAM,15903,6196,8,RAM_T2P_BRAM,8186,22,40,15903,test:dot-product-4-1-6-1-1,5,2,15903
ok,RAM_T2P_BRAM,12066,14724,16,RAM_T2P_BRAM,21416,28,80,12066,test:dot-product-5-2-11-1-1,6,3,12066
