status,est_avg_lat,est_lut,bench,unroll,est_bram,bank2,est_min_lat,est_dsp,resource1,resource2,est_max_lat,est_ff,bank1
ok,12322,5344,test:dot-product-0-2-14-0-1,24,24,3,12322,120,RAM_1P_BRAM,RAM_T2P_BRAM,12322,9102,1
ok,9284,19264,test:dot-product-4-1-17-1-1,36,22,2,9284,288,RAM_T2P_BRAM,RAM_T2P_BRAM,9284,40753,5
ok,10717,6022,test:dot-product-2-4-4-0-1,5,26,5,10717,60,RAM_1P_BRAM,RAM_T2P_BRAM,10717,9570,3
ok,9284,25712,test:dot-product-6-5-14-1-1,24,30,6,9284,288,RAM_T2P_BRAM,RAM_T2P_BRAM,9284,46168,7
ok,9284,20285,test:dot-product-6-1-17-0-1,36,26,2,9284,288,RAM_1P_BRAM,RAM_T2P_BRAM,9284,39764,7
ok,38939,4284,test:dot-product-5-6-1-1-1,2,30,7,38939,12,RAM_T2P_BRAM,RAM_T2P_BRAM,38939,4616,6
ok,9362,5086,test:dot-product-3-1-12-0-1,18,20,2,9362,72,RAM_1P_BRAM,RAM_T2P_BRAM,9362,8008,4
ok,9592,3198,test:dot-product-1-5-5-1-1,6,24,6,9592,30,RAM_T2P_BRAM,RAM_T2P_BRAM,9592,4095,2
ok,9592,4287,test:dot-product-2-2-10-1-0,15,28,3,9592,75,RAM_T2P_BRAM,RAM_1P_BRAM,9592,7029,3
ok,12600,4715,test:dot-product-3-4-10-1-1,15,22,5,12600,75,RAM_T2P_BRAM,RAM_T2P_BRAM,12600,7022,4
ok,9455,3691,test:dot-product-4-1-8-0-1,10,22,2,9455,50,RAM_1P_BRAM,RAM_T2P_BRAM,9455,5446,5
ok,12044,4026,test:dot-product-3-7-11-1-0,16,20,8,12044,64,RAM_T2P_BRAM,RAM_1P_BRAM,12044,6964,4
ok,9079,11455,test:dot-product-6-4-10-1-0,15,28,5,9079,180,RAM_T2P_BRAM,RAM_1P_BRAM,9079,18787,7
ok,23583,5708,test:dot-product-5-2-3-0-0,4,28,3,23583,20,RAM_1P_BRAM,RAM_1P_BRAM,23583,7055,6
ok,10390,12930,test:dot-product-1-5-15-0-1,25,24,6,10390,200,RAM_1P_BRAM,RAM_T2P_BRAM,10390,27356,2
ok,9049,8993,test:dot-product-3-4-16-1-0,30,22,5,9049,240,RAM_T2P_BRAM,RAM_1P_BRAM,9049,22996,4
ok,8910,5591,test:dot-product-5-2-14-1-1,24,28,3,8910,120,RAM_T2P_BRAM,RAM_T2P_BRAM,8910,10437,6
ok,9626,14226,test:dot-product-4-2-9-1-0,12,26,3,9626,144,RAM_T2P_BRAM,RAM_1P_BRAM,9626,23896,5
ok,9079,7452,test:dot-product-6-6-4-1-1,5,32,7,9079,40,RAM_T2P_BRAM,RAM_T2P_BRAM,9079,10060,7
ok,23579,4254,test:dot-product-0-4-3-1-0,4,22,5,23579,20,RAM_T2P_BRAM,RAM_1P_BRAM,23579,4979,1
ok,10413,5569,test:dot-product-2-1-10-1-0,15,24,2,10413,120,RAM_T2P_BRAM,RAM_1P_BRAM,10413,12160,3
ok,12319,6224,test:dot-product-0-1-15-0-1,25,20,2,12319,100,RAM_1P_BRAM,RAM_T2P_BRAM,12319,10918,1
ok,38937,3323,test:dot-product-0-4-1-0-0,2,22,5,38937,10,RAM_1P_BRAM,RAM_1P_BRAM,38937,3386,1
ok,12319,5081,test:dot-product-0-0-14-0-1,24,20,1,12319,88,RAM_1P_BRAM,RAM_T2P_BRAM,12319,8732,1
ok,12326,15022,test:dot-product-4-2-11-1-0,16,26,3,12326,96,RAM_T2P_BRAM,RAM_1P_BRAM,12326,22053,5
ok,69644,2733,test:dot-product-3-2-0-1-0,1,24,3,69644,4,RAM_T2P_BRAM,RAM_1P_BRAM,69644,2390,4
ok,21355,6537,test:dot-product-6-3-4-0-0,5,26,4,21355,40,RAM_1P_BRAM,RAM_1P_BRAM,21355,8787,7
ok,9283,22285,test:dot-product-5-2-13-1-1,20,28,3,9283,160,RAM_T2P_BRAM,RAM_T2P_BRAM,9283,41373,6
ok,12619,8915,test:dot-product-5-7-10-1-1,15,32,8,12619,120,RAM_T2P_BRAM,RAM_T2P_BRAM,12619,15677,6
